Close,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30
93.44,92.28625084833342,92.78200000000001,90.69,91.72466666666666,92.34066666666668
97.05,92.40162576350008,93.14,91.435,91.41933333333333,92.45533333333334
95.1,92.86646318715007,94.302,92.551,91.33,92.63499999999999
93.99,93.08981686843508,94.448,93.295,91.08266666666667,92.857
93.93,93.17983518159157,94.53399999999999,93.553,91.626,93.14566666666666
95.89,93.25485166343242,94.702,93.74199999999999,92.02733333333332,93.34433333333332
96.59,93.51836649708918,95.192,94.166,92.68733333333333,93.50533333333333
95.31,93.82552984738027,95.1,94.701,93.40066666666667,93.67566666666667
95.12,93.97397686264225,95.14200000000001,94.795,93.91066666666667,93.63033333333333
96.37,94.08857917637802,95.36800000000001,94.95100000000001,94.15799999999999,93.53733333333335
96.16,94.31672125874022,95.85600000000001,95.27900000000001,94.44666666666667,93.59633333333335
95.87,94.50104913286619,95.91,95.551,94.74733333333333,93.63166666666666
95.26,94.63794421957957,95.76599999999999,95.433,95.05600000000001,93.592
95.94,94.7001497976216,95.756,95.449,95.11533333333334,93.61166666666666
95.18,94.82413481785943,95.92,95.644,95.27400000000002,93.61066666666667
97.32,94.8597213360735,95.68199999999999,95.769,95.41333333333334,93.569
97.58,95.10574920246616,95.91400000000002,95.912,95.672,93.54566666666668
97.3,95.35317428221954,96.256,96.011,95.70733333333334,93.51866666666666
97.45,95.54785685399759,96.66399999999999,96.21,95.854,93.46833333333333
97.45,95.73807116859784,96.96600000000001,96.443,96.08466666666666,93.85533333333333
97.38,95.90926405173806,97.41999999999999,96.551,96.31933333333335,94.17333333333333
97.38,96.05633764656426,97.43199999999999,96.673,96.41866666666667,94.55300000000001
100.09,96.18870388190783,97.392,96.824,96.47133333333335,94.93599999999999
99.16,96.57883349371704,97.95,97.30699999999999,96.78999999999999,95.35033333333334
99.66,96.83695014434534,98.292,97.62899999999999,97.05933333333334,95.60866666666668
96.5,97.1192551299108,98.734,98.077,97.27866666666665,95.86266666666667
99.05,97.05732961691972,98.55799999999999,97.995,97.30133333333333,96.02433333333333
96.09,97.25659665522774,98.892,98.142,97.51333333333332,96.28466666666667
97.01,97.13993698970496,98.09200000000001,98.02099999999999,97.56866666666666,96.342
97.34,97.12694329073446,97.662,97.977,97.64000000000001,96.45700000000001
99.48,97.14824896166101,97.19800000000001,97.966,97.784,96.59866666666667
98.06,97.38142406549491,97.794,98.176,97.92800000000001,96.8
98.24,97.44928165894542,97.596,98.244,97.96,96.83366666666667
94.87,97.52835349305087,98.026,98.059,98.02266666666667,96.93833333333333
95.85,97.26251814374578,97.598,97.63,97.85066666666667,96.96766666666666
95.94,97.12126632937121,97.3,97.249,97.74399999999999,97.03166666666668
94.56,97.00313969643408,96.59200000000001,97.19300000000001,97.648,97.03333333333333
97.07,96.75882572679066,95.89200000000001,96.744,97.46,96.96566666666668
97.48,96.7899431541116,95.65799999999999,96.84200000000001,97.25866666666667,97.02433333333333
96.67,96.85894883870043,96.17999999999999,96.889,97.14666666666666,97.103
98.55,96.84005395483038,96.344,96.822,96.94733333333333,97.113
102.63,97.01104855934733,96.866,96.729,97.084,97.19266666666667
102.34,97.57294370341259,98.47999999999999,97.186,97.32266666666668,97.41799999999999
106.28,98.04964933307133,99.534,97.596,97.73933333333333,97.654
105.07,98.8726843997642,101.29400000000001,98.737,98.35733333333333,97.99866666666667
104.82,99.49241595978778,102.974,99.659,98.87266666666667,98.32833333333333
103.34,100.025174363809,104.228,100.547,99.22866666666667,98.57833333333333
100.59,100.3566569274281,104.37,101.425,99.58066666666667,98.77033333333334
99.5,100.3799912346853,104.02000000000001,101.77700000000002,99.73733333333334,98.88000000000001
100.25,100.29199211121677,102.66399999999999,101.97900000000001,100.046,98.94833333333332
101.47,100.2877929000951,101.7,102.337,100.33933333333334,99.04166666666667
99.8,100.4060136100856,101.03,102.62899999999999,100.708,99.17800000000001
118.89,100.34541224907703,100.322,102.346,101.05733333333335,99.25866666666666
121.87,102.19987102416933,103.982,104.001,102.51199999999999,99.88533333333335
123.36,104.16688392175239,108.45599999999999,105.55999999999999,104.138,100.64233333333333
127.5,106.08619552957715,113.078,107.38899999999998,105.91733333333333,101.43233333333335
127.33,108.22757597661945,118.28400000000002,109.657,107.84733333333334,102.46566666666668
126.51,110.1378183789575,123.79,112.056,109.49399999999999,103.40833333333333
126.97,111.77503654106175,125.31400000000001,114.648,111.10533333333333,104.42233333333334
126.47,113.29453288695558,126.33400000000002,117.39500000000001,112.48466666666667,105.421
126.57,114.61207959826001,126.95599999999999,120.01700000000001,113.91133333333332,106.392
124.87,115.80787163843401,126.77000000000001,122.527,115.36133333333333,107.295
123.3,116.71408447459059,126.27799999999999,125.03399999999999,116.79666666666667,108.18866666666666
122.34,117.37267602713152,125.63600000000001,125.475,118.31066666666666,109.02400000000002
122.14,117.86940842441835,124.71,125.522,119.83333333333333,109.93966666666667
122.03,118.29646758197651,123.84400000000001,125.4,121.29266666666666,110.816
124.58,118.66982082377885,122.936,124.85300000000002,122.66333333333334,111.68566666666666
124.34,119.26083874140096,122.878,124.578,124.31533333333333,112.68633333333332
122.19,119.76875486726084,123.08600000000001,124.36099999999999,124.67866666666667,113.59533333333334
115.42,120.01087938053476,123.056,123.883,124.7,114.41900000000001
114.78,119.55179144248129,121.71199999999999,122.77800000000002,124.17066666666666,115.04400000000001
113.38,119.07461229823315,120.26200000000001,121.599,123.32266666666668,115.585
113.59,118.50515106840982,118.022,120.45,122.39266666666667,115.94333333333334
