Close,RSI,MACD_signal
93.44,41.52106885919836,-0.6770201246124762
97.05,47.28227300802964,-0.5173628359565787
95.1,71.67602996254678,-0.3589502686409103
93.99,64.9019607843137,-0.22651339852907862
93.93,71.4131607335491,-0.11774114686761532
95.89,74.50980392156862,0.002035570400235721
96.59,73.09881013967926,0.13359423176882293
95.31,61.56583629893239,0.24491492432705525
95.12,59.378806333739334,0.3341256857718633
96.37,63.6574074074074,0.42398327512505946
96.16,64.40281030444966,0.5052190293661363
95.87,55.266853932584276,0.5710139949285958
95.26,56.05413105413107,0.6126482423383839
95.94,60.0,0.6464091372131291
95.18,55.93451568894957,0.6598667120503358
97.32,51.02350265352539,0.6925315713465137
97.58,60.78260869565223,0.738092567146529
97.3,65.51077788191196,0.7831987300531142
97.45,66.3568773234201,0.8262633669822683
97.45,58.863636363636395,0.8639076742016876
97.38,54.83476132190939,0.8930954175226957
97.38,65.02177068214803,0.913417135576547
100.09,76.40807651434645,0.9682711075351641
99.16,65.3465346534653,1.0248491988356063
99.66,68.65671641791046,1.0851833870483112
96.5,52.57142857142856,1.0918196993292388
99.05,63.35447498238194,1.1026466195576772
96.09,50.45537340619309,1.0657943406995194
97.01,55.502104630186395,1.0132384226942894
97.34,50.0674763832659,0.9565504179106737
99.48,55.68862275449102,0.9322064583192065
98.06,52.13004484304934,0.9046313124944099
98.24,52.21040850587575,0.8772864135694597
94.87,43.92655367231639,0.7957533987679585
95.85,46.54627539503385,0.6983520627712793
95.94,46.76258992805756,0.5959549212736943
94.56,36.77666188426588,0.4724189372015699
97.07,45.35349044019563,0.38107834227692977
97.48,45.133928571428584,0.3203781743757651
96.67,50.42394014962594,0.268411552044526
98.55,48.710010319917444,0.25402566086611666
102.63,65.95121951219514,0.3284638173304791
102.34,63.41217916456972,0.4492975787766136
106.28,69.03747870528112,0.6547132599445673
105.07,62.394678492239464,0.8815779530707937
104.82,65.80916744621142,1.1039959507977088
103.34,61.24338624338628,1.285838561326158
100.59,62.964641885766106,1.3859114850556147
99.5,58.23184483536312,1.4089376792111548
100.25,59.43933420937364,1.391219962762442
