iter	RMSE
678	3.922852327
679	3.910089032
680	3.908460382
681	3.901269539
682	3.899824275
683	3.895647195
684	3.894342746
685	3.890818362
686	3.881371956
687	3.869110953
688	3.858512038
689	3.856919532
690	3.843712822
691	3.842878187
692	3.831612727
693	3.830203059
694	3.829834152
695	3.823204657
696	3.81990321
697	3.81166918
698	3.798916977
699	3.790188976
700	3.783680913
701	3.782169804
702	3.781779271
703	3.77641359
704	3.773917175
705	3.767495121
706	3.75527699
707	3.748279788
708	3.745459871
709	3.740899123
710	3.736634263
711	3.733106525
712	3.731122082
713	3.724699177
714	3.724430381
715	3.724132979
716	3.71686215
717	3.706494382
718	3.705016019
719	3.702628882
720	3.700607686
721	3.695429202
722	3.692836226
723	3.687600697
724	3.682167549
725	3.681760598
726	3.679397597
727	3.676112793
728	3.675757277
729	3.665789097
730	3.664336034
731	3.653688796
732	3.642912216
733	3.640824196
734	3.635111734
735	3.627160308
736	3.620864908
737	3.618151528
738	3.615020538
739	3.609883746
740	3.605426442
741	3.601231699
742	3.59885186
743	3.59750932
744	3.589165692
745	3.582367924
746	3.573674184
747	3.570702504
748	3.560537996
749	3.554828257
750	3.553480203
751	3.552612899
752	3.548873357
753	3.543305611
754	3.541043698
755	3.534994726
756	3.530869307
757	3.5305251
758	3.524164113
759	3.51998051
760	3.510102043
761	3.507601564
762	3.501195639
763	3.500837472
764	3.499731601
765	3.49820809
766	3.486920893
767	3.48036167
768	3.478070624
769	3.471911542
770	3.466623621
771	3.463973294
772	3.46249467
773	3.461807262
774	3.455554471
775	3.450842971
776	3.448512929
777	3.44077893
778	3.432106568
779	3.431386128
780	3.428673779
781	3.426559798
782	3.424869014
783	3.417716781
784	3.415335131
785	3.413262732
786	3.402974142
787	3.399504137
788	3.388901074
789	3.382824292
790	3.380735171
791	3.373550781
792	3.372813968
793	3.362474056
794	3.353742146
795	3.351086623
796	3.349361756
797	3.348984405
798	3.344198374
799	3.338695985
800	3.33612332
801	3.334451884
802	3.334212445
803	3.332619258
804	3.327105192
805	3.321682356
806	3.315848037
807	3.315236161
808	3.31364567
809	3.311280775
810	3.307163714
811	3.302347001
812	3.29886332
813	3.297339872
814	3.292111575
815	3.288530258
816	3.283531428
817	3.280428864
818	3.280137679
819	3.279138668
820	3.26960035
821	3.265132774
822	3.258242371
823	3.255469161
824	3.25513175
825	3.254182156
826	3.253901865
827	3.252650654
828	3.252409661
829	3.250131769
830	3.24714643
831	3.241355663
832	3.239462458
833	3.235803271
834	3.22616981
835	3.224324659
836	3.218021479
837	3.215188295
838	3.209245292
839	3.206056902
840	3.200508333
841	3.19715832
842	3.194387189
843	3.189341918
844	3.188582443
845	3.188178778
846	3.183587318
847	3.177544383
848	3.176396428
849	3.174021556
850	3.172840664
851	3.1725484
852	3.167868805
853	3.164872034
854	3.16375593
855	3.162415281
856	3.159404987
857	3.152352931
858	3.149380084
859	3.146285163
860	3.139732032
861	3.139426309
862	3.137897581
863	3.131093931
864	3.129227688
865	3.12791293
866	3.125793123
867	3.124306753
868	3.12257684
869	3.117836948
870	3.117604559
871	3.116085294
872	3.114872838
873	3.111575633
874	3.103998509
875	3.101002134
876	3.099574964
877	3.097314317
878	3.095346673
879	3.094541131
880	3.090141605
881	3.089875072
882	3.083996845
883	3.079551948
884	3.079289694
885	3.078155838
886	3.076009222
887	3.074737762
888	3.074399682
889	3.069597281
890	3.067494271
891	3.065904295
892	3.064317585
893	3.059463588
894	3.055119556
895	3.049494168
896	3.040676951
897	3.033094343
898	3.031642753
899	3.027608676
900	3.027382017
901	3.026154311
902	3.024285227
903	3.023563007
904	3.018468555
905	3.012920151
906	3.009817908
907	3.008855164
908	3.007628027
909	3.006400542
910	3.005329664
911	3.004143032
912	2.998444127
913	2.998214513
914	2.996054834
915	2.993041297
916	2.992043567
917	2.990794658
918	2.990064808
919	2.98505979
920	2.983125574
921	2.976508813
922	2.971879739
923	2.971645052
924	2.964219914
925	2.96259797
926	2.95973725
927	2.958225601
928	2.956660774
929	2.955450487
930	2.949998278
931	2.944313661
932	2.941437123
933	2.936101564
934	2.931840284
935	2.927754576
936	2.927191535
937	2.921354208
938	2.91959931
939	2.915885717
940	2.91430789
941	2.90623778
942	2.90458984
943	2.901693058
944	2.898799527
945	2.897125643
946	2.896420451
947	2.894959084
948	2.89305788
949	2.891580475
950	2.890959834
951	2.887531967
952	2.886700546
953	2.885425105
954	2.880524911
955	2.875584653
956	2.87161712
957	2.870183179
958	2.868127134
959	2.861115797
960	2.854628685
961	2.851704596
962	2.847393906
963	2.847077679
964	2.845139667
965	2.843242167
966	2.839067311
967	2.837205207
968	2.833113464
969	2.826377775
970	2.823741491
971	2.818785699
972	2.81423203
973	2.807450288
974	2.805500532
975	2.802395255
976	2.802175701
977	2.796906208
978	2.79445618
979	2.789580957
980	2.789186879
981	2.787918743
982	2.78592036
983	2.784050982
984	2.779819084
985	2.775198705
986	2.768926729
987	2.762117458
988	2.761071903
989	2.759685585
990	2.758420082
991	2.752357186
992	2.751153148
993	2.750063062
994	2.744768856
995	2.744523479
996	2.743225761
997	2.742195222
998	2.741258458
999	2.741043864
