iter	Passed	Remaining
182	273	1219
183	275	1219
184	277	1221
185	279	1224
186	282	1226
187	285	1234
188	288	1236
189	290	1237
190	292	1238
191	293	1236
192	295	1235
193	297	1235
194	299	1235
195	300	1232
196	301	1228
197	302	1224
198	303	1221
199	304	1218
200	306	1216
201	307	1215
202	309	1215
203	312	1218
204	314	1219
205	315	1216
206	316	1212
207	317	1208
208	318	1205
209	319	1203
210	321	1201
211	322	1199
212	323	1196
213	325	1193
214	326	1191
215	327	1190
216	328	1186
217	329	1183
218	331	1180
219	332	1177
220	333	1174
221	334	1170
222	335	1168
223	336	1165
224	337	1162
225	338	1159
226	339	1156
227	340	1154
228	342	1151
229	343	1149
230	344	1146
231	345	1143
232	346	1140
233	347	1137
234	348	1134
235	349	1131
236	350	1129
237	351	1126
238	352	1123
239	353	1120
240	355	1118
241	356	1115
242	357	1112
243	358	1110
244	359	1107
245	360	1105
246	361	1102
247	362	1100
248	363	1097
249	364	1094
250	365	1091
251	367	1089
252	368	1087
253	369	1084
254	370	1081
255	371	1079
256	372	1077
257	373	1075
258	375	1073
259	376	1070
260	377	1068
261	378	1066
262	379	1063
263	380	1060
264	381	1058
265	382	1055
266	383	1053
267	384	1051
268	385	1048
269	386	1045
270	387	1043
271	388	1041
272	390	1038
273	391	1036
274	392	1033
275	393	1031
276	394	1028
277	395	1026
278	396	1024
279	397	1022
280	398	1020
281	399	1018
282	401	1016
283	402	1014
284	403	1011
285	404	1009
286	405	1006
287	406	1004
288	407	1003
289	408	1001
290	409	998
291	410	996
292	411	993
293	413	991
294	414	989
295	415	987
296	416	984
297	417	982
298	418	980
299	419	977
300	420	975
301	420	973
302	422	971
303	423	969
304	424	966
305	425	964
306	426	962
307	427	960
308	428	958
309	429	955
310	430	953
311	432	954
312	433	952
313	435	951
314	436	949
315	438	948
316	439	947
317	441	946
318	442	945
319	444	943
320	445	942
321	447	942
322	449	942
323	451	941
324	452	939
325	454	939
326	455	936
327	456	934
328	457	932
329	458	930
330	459	928
331	460	926
332	461	924
333	463	923
334	464	922
335	465	920
336	467	919
337	468	917
338	469	916
339	471	914
340	472	912
341	473	910
342	474	908
343	475	906
344	477	906
345	478	904
346	479	902
347	481	902
348	482	900
349	483	898
350	484	896
351	486	894
352	487	892
353	488	890
354	489	889
355	491	888
356	492	887
357	493	885
358	494	883
359	496	882
360	497	880
361	498	878
362	500	877
363	501	876
364	502	874
365	504	873
366	505	871
367	506	869
368	507	867
369	508	866
370	509	864
371	511	863
372	512	861
373	513	859
374	515	858
375	515	856
376	517	854
377	518	853
378	519	851
379	520	849
380	521	847
381	522	845
382	524	844
383	525	843
384	526	841
385	527	839
386	528	837
387	529	835
388	531	834
389	532	832
390	533	831
391	534	829
392	536	827
393	537	826
394	538	825
395	539	823
396	541	821
397	542	820
398	543	818
399	544	816
400	545	815
401	547	814
402	548	813
403	549	811
404	550	809
405	551	807
406	553	805
407	554	804
408	555	802
409	556	801
410	558	800
411	560	799
412	562	800
413	564	798
414	566	798
415	568	797
416	569	796
417	570	795
418	572	793
419	573	791
420	574	790
421	576	789
422	577	787
423	578	785
424	579	783
425	580	782
426	581	780
427	583	779
428	584	777
429	585	776
430	586	774
431	587	773
432	588	771
433	590	769
434	591	768
435	593	767
436	594	765
437	595	764
438	597	763
439	598	761
440	600	760
441	601	759
442	602	757
443	603	755
444	605	754
445	606	752
446	607	751
447	608	749
448	610	748
449	611	747
450	612	745
451	614	744
452	615	743
453	617	742
454	618	740
455	619	738
456	620	737
457	622	736
458	623	734
459	625	733
460	626	731
461	627	730
462	628	728
463	629	726
464	630	725
465	631	723
466	632	721
467	633	720
468	635	719
469	636	717
470	637	716
471	638	714
472	640	713
473	641	711
474	642	710
475	643	708
476	644	706
477	646	705
478	647	704
479	649	703
480	650	702
481	651	700
482	653	699
483	654	698
484	656	696
485	657	695
486	658	693
487	660	692
488	661	691
489	662	689
490	663	688
491	664	686
492	666	684
493	667	683
494	668	682
495	669	680
496	670	679
497	672	678
498	674	677
499	676	676
500	677	675
501	679	674
502	681	673
503	684	673
504	686	672
505	687	671
506	689	670
507	690	669
508	691	667
509	693	665
510	694	664
511	695	663
512	698	662
513	699	661
514	700	660
515	702	659
516	703	657
517	705	656
518	706	655
519	708	653
520	709	652
521	711	651
522	713	650
523	714	648
524	715	647
525	716	645
526	718	644
527	719	642
528	720	641
529	721	640
530	723	639
531	725	638
532	727	637
533	728	635
534	729	634
535	731	633
536	732	631
537	734	630
538	735	629
539	736	627
540	738	626
541	739	625
542	741	623
543	742	622
544	743	621
545	745	619
546	747	618
547	748	617
548	749	616
549	751	614
550	752	613
551	754	612
552	756	611
553	757	609
554	759	609
555	761	608
556	762	606
557	763	605
558	765	603
559	767	602
560	768	601
561	770	600
562	771	598
563	772	597
564	774	596
565	776	595
566	777	593
567	778	592
568	779	590
569	781	589
570	782	587
571	783	586
572	785	585
573	786	583
574	787	582
575	789	581
576	790	579
577	792	578
578	793	576
579	794	575
580	795	573
581	796	572
582	799	571
583	800	570
584	802	569
585	804	568
586	806	567
587	808	566
588	809	564
589	811	563
590	812	562
591	813	560
592	814	559
593	816	557
594	817	556
595	818	554
596	820	553
597	821	552
598	822	550
599	824	549
600	825	547
601	826	546
602	827	544
603	828	543
604	829	541
605	831	540
606	833	539
607	834	537
608	835	536
609	837	535
610	838	533
611	839	532
612	840	530
613	842	529
614	843	528
615	844	526
616	846	525
617	847	523
618	849	522
619	850	521
620	852	520
621	853	518
622	854	516
623	855	515
624	856	513
625	857	512
626	859	511
627	860	509
628	861	508
629	863	506
630	864	505
631	865	503
632	866	502
633	868	501
634	869	499
635	870	498
636	871	496
637	872	495
638	874	493
639	875	492
640	876	490
641	877	489
642	878	487
643	879	486
644	881	484
645	882	483
646	883	481
647	884	480
648	885	478
649	886	477
650	887	475
651	889	474
652	890	473
653	891	471
654	892	470
655	893	468
656	894	467
657	895	465
658	897	464
659	898	463
660	899	461
661	900	460
662	902	458
663	903	457
664	904	455
665	906	454
666	907	453
667	908	451
668	909	450
669	910	448
670	911	447
671	913	445
672	914	444
673	915	442
674	916	441
675	918	440
676	919	438
677	922	437
678	924	436
679	927	436
680	930	435
681	932	434
682	935	433
683	936	432
684	938	431
685	940	430
686	941	428
687	942	427
688	944	426
689	945	425
690	947	423
691	948	422
692	949	420
693	951	419
694	952	418
695	954	416
696	955	415
697	956	414
698	958	412
699	959	411
700	960	409
701	961	408
702	963	407
703	964	405
704	966	404
705	968	403
706	969	401
707	970	400
708	971	398
709	973	397
710	975	396
711	977	395
712	978	393
713	979	392
714	981	391
715	982	389
716	984	388
717	986	387
718	987	385
719	988	384
720	989	382
721	990	381
722	992	380
723	993	378
724	994	377
725	996	375
726	997	374
727	998	373
728	1000	371
729	1001	370
730	1002	368
731	1003	367
732	1005	366
733	1006	364
734	1007	363
735	1009	361
736	1010	360
737	1011	359
738	1013	357
739	1014	356
740	1016	355
741	1017	353
742	1018	352
743	1020	351
744	1022	349
745	1023	348
746	1025	347
747	1026	345
748	1028	344
749	1030	343
750	1031	341
751	1032	340
752	1033	339
753	1035	337
754	1037	336
755	1038	335
756	1040	333
757	1041	332
758	1043	331
759	1045	330
760	1050	329
761	1056	329
762	1060	329
763	1062	328
764	1064	326
765	1066	325
766	1067	324
767	1068	322
768	1070	321
769	1071	320
770	1073	318
771	1075	317
772	1076	316
773	1078	314
774	1079	313
775	1081	312
776	1083	310
777	1085	309
778	1086	308
779	1087	306
780	1088	305
781	1090	303
782	1091	302
783	1093	301
784	1095	300
785	1097	298
786	1101	298
787	1103	296
788	1106	295
789	1109	294
790	1112	293
791	1114	292
792	1116	291
793	1117	290
794	1119	288
795	1121	287
796	1122	285
797	1124	284
798	1125	283
799	1127	281
800	1128	280
801	1130	278
802	1131	277
803	1132	276
804	1133	274
805	1134	273
806	1136	271
807	1137	270
808	1139	268
809	1140	267
810	1142	266
811	1143	264
812	1145	263
813	1147	262
814	1148	260
815	1150	259
816	1151	257
817	1153	256
818	1155	255
819	1157	254
820	1159	252
821	1161	251
822	1162	250
823	1164	248
824	1166	247
825	1168	246
826	1175	245
827	1177	244
828	1178	243
829	1181	242
830	1184	240
831	1188	239
832	1190	238
833	1191	237
834	1192	235
835	1193	234
836	1194	232
837	1196	231
838	1197	229
839	1199	228
840	1200	227
841	1203	225
842	1204	224
843	1206	222
844	1207	221
845	1208	220
846	1209	218
847	1211	217
848	1212	215
849	1214	214
850	1216	212
851	1217	211
852	1219	210
853	1220	208
854	1222	207
855	1223	205
856	1225	204
857	1227	203
858	1228	201
859	1229	200
860	1231	198
861	1232	197
862	1234	195
863	1235	194
864	1236	192
865	1237	191
866	1239	190
867	1240	188
868	1241	187
869	1242	185
870	1244	184
871	1245	182
872	1246	181
873	1248	179
874	1249	178
875	1250	177
876	1251	175
877	1253	174
878	1254	172
879	1256	171
880	1257	169
881	1258	168
882	1259	166
883	1260	165
884	1261	163
885	1263	162
886	1264	161
887	1266	159
888	1267	158
889	1268	156
890	1269	155
891	1271	153
892	1272	152
893	1273	151
894	1274	149
895	1275	148
896	1277	146
897	1278	145
898	1279	143
899	1281	142
900	1282	140
901	1283	139
902	1284	138
903	1285	136
904	1286	135
905	1288	133
906	1290	132
907	1293	131
908	1295	129
909	1297	128
910	1299	126
911	1300	125
912	1303	124
913	1304	122
914	1306	121
915	1307	119
916	1309	118
917	1310	117
918	1311	115
919	1312	114
920	1313	112
921	1315	111
922	1317	109
923	1318	108
924	1319	106
925	1320	105
926	1321	104
927	1323	102
928	1324	101
929	1325	99
930	1326	98
931	1328	96
932	1329	95
933	1330	94
934	1331	92
935	1332	91
936	1334	89
937	1335	88
938	1336	86
939	1338	85
940	1339	83
941	1340	82
942	1341	81
943	1342	79
944	1344	78
945	1345	76
946	1346	75
947	1348	73
948	1349	72
949	1351	71
950	1353	69
951	1354	68
952	1355	66
953	1357	65
954	1358	64
955	1359	62
956	1361	61
957	1362	59
958	1363	58
959	1364	56
960	1366	55
961	1367	54
962	1369	52
963	1370	51
964	1371	49
965	1372	48
966	1374	46
967	1375	45
968	1376	44
969	1377	42
970	1379	41
971	1380	39
972	1381	38
973	1383	36
974	1384	35
975	1386	34
976	1387	32
977	1389	31
978	1390	29
979	1391	28
980	1392	26
981	1394	25
982	1395	24
983	1396	22
984	1397	21
985	1398	19
986	1399	18
987	1401	17
988	1402	15
989	1404	14
990	1405	12
991	1407	11
992	1409	9
993	1410	8
994	1411	7
995	1413	5
996	1416	4
997	1419	2
998	1420	1
999	1422	0
